```tsv
ファイル名	現在のslug	タイトル	翻訳結果
2024-07-28_markdownpowerpointcreatemarptry.md	markdownpowerpointcreatemarptry	今更だけどMarkdownでPowerPointが作成できるMarpに入門してみる	It's a little late, but I'll introduce Marp, which allows you to create PowerPoint using Markdown
2024-08-08_neet→working-adultsleepqualitychange.md	neet→working-adultsleepqualitychange	ニート→社会人になって睡眠の質は変化したのか調べてみた	I investigated whether the quality of sleep changed after going from NEET to working adult.
2024-08-12_api.md	api	API叩くときはしっかりデコードしよう	Be sure to decode properly when calling the API
2024-09-13_github-actionsfiledo.md	github-actionsfiledo	GitHub Actionsでビルドしたファイルをリリースノートに格納する	Include build files in release notes with GitHub Actions
2024-09-21_nextjs-approuterdynamicogpcreatedo.md	nextjs-approuterdynamicogpcreatedo	Next.js AppRouterで動的OGP画像を作成する	Creating dynamic OGP images with Next.js AppRouter
2024-09-26_playwrightbeurldo.md	playwrightbeurldo	Playwrightでクエリパラメータが付与されているページのURLを取得する	Get the URL of a page with query parameters in Playwright
2024-10-06_tailwind-css.md	tailwind-css	Tailwind CSS マーカーとテキストの重なりを防ぐ方法	How to prevent Tailwind CSS marker and text overlap
2024-11-09_wikipediatry.md	wikipediatry	Wikipediaの全記事を学習させて、日本語で遊んでみる	Learn all Wikipedia articles and have fun with them in Japanese
2024-11-16_bewebsite.md	bewebsite	住んでいる地域の人口増減を一目でわかるWebサイトをつくった	We created a website that lets you see at a glance the population increase or decrease in your area.
2024-11-17_informationdowebapirequesttry.md	informationdowebapirequesttry	アニメ情報を取得するWebAPIを実際にリクエストして、比較してみる	Let's actually request a WebAPI that retrieves anime information and compare them.
2024-11-30_analyzeinformation.md	analyzeinformation	初めての実行計画と「ANALYZE」で統計情報の再計算を行う	First execution plan and recalculating statistics with "ANALYZE"
2024-12-31_understandingdobranded-type.md	understandingdobranded-type	手を動かして理解するBranded Type	Branded Type: Learn by doing
2025-01-02_understandingdocleanarchitecture.md	understandingdocleanarchitecture	手を動かして理解するクリーンアーキテクチャ	Learn Clean Architecture through hands-on experience
2025-01-11_branded-type.md	branded-type	もう少し楽にBranded Typeを使えるようにしたい	I want to make it easier to use Branded Type.
2025-02-08_marpslidecreatedo.md	marpslidecreatedo	Marpで企業ロゴが入ったスライドを作成する	Create a slide with your company logo using Marp
2025-02-22_podfromnotfrom.md	podfromnotfrom	Podがなにか分からないから弁当ケースで表現してもらう	I don't know what a Pod is, so I'll use a lunch box to represent it.
2025-03-03_honoxurlcreatesite.md	honoxurlcreatesite	HonoXで短縮URL作成サイトをつくる	Create a URL shortening site with HonoX
2025-04-11_chinchirodomcpservertry.md	chinchirodomcpservertry	チンチロをするMCPサーバーを作ってみる	Creating an MCP server for playing Chinchiro
2025-05-06_nothonoxblondeheroinenotwebsite.md	nothonoxblondeheroinenotwebsite	「ないなら作ればよくね？」HonoXで金髪ヒロインしか乗ってないWebサイトを作った話	"If it doesn't exist, why not just make one?" How I created a website with only blonde heroines using HonoX
2025-05-11_hono-obsidianhands-ondevelopmenttry.md	hono-obsidianhands-ondevelopmenttry	Hono + Obsidianプラグインをハンズオン形式で開発してみる	Hands-on development of Hono + Obsidian plugins
2025-05-18_dependabotsettings.md	dependabotsettings	dependabotによる依存関係更新の集約設定	Aggregating dependency updates with dependabot
2025-06-01_honoxvitestdo.md	honoxvitestdo	HonoXにVitestを導入する	Installing Vitest on HonoX
2025-06-08_cloudflare-workersillegal-invocationerror.md	cloudflare-workersillegal-invocationerror	Cloudflare Workers環境で「Illegal invocation」エラーが起きたときに試したこと	What I tried when I got the "Illegal invocation" error in a Cloudflare Workers environment
2025-08-28_pretoolusefailed-status-code-127.md	pretoolusefailed-status-code-127	PreToolUseがfailed with non-blocking status code 127になったときにやったこと	What I did when PreToolUse failed with non-blocking status code 127
2025-09-27_dev-containerserena-mcpdo.md	dev-containerserena-mcpdo	Dev Container環境でSerena MCPのブラウザ自動起動を無効化する	Disable automatic browser launch for Serena MCP in Dev Container environment
2025-09-28_dostop-hooksnottypescript.md	dostop-hooksnottypescript	仕組みでカバーするStop Hooksで忘れないTypeScriptの型チェック	Don't forget to check TypeScript types with Stop Hooks
2025-10-18_notion-apidatabaseapitry.md	notion-apidatabaseapitry	Notion APIのデータベース操作APIに破壊的変更があったので、実装を修正してみる	There was a breaking change in the Notion API's database operation API, so I'm going to fix the implementation.
2025-11-03_gasusewebsite.md	gasusewebsite	GASを使うと社内だけで使えるWebサイトが簡単に作れるの知ってました？	Did you know that you can easily create a website that can only be used within your company using GAS?
2025-11-09_anthropicmcpserena-mcp.md	anthropicmcpserena-mcp	Anthropic公式のMCPによるコード実行をserena MCPで試してみたけど無理だった件	I tried running code using the official Anthropic MCP with Serena MCP, but it didn't work.
```
